country_name;country_code;region_name;iata;icao;airport
Emiratos Árabes Unidos;AE;Abu Zaby;AAN;OMAL;Al Ain International Airport
Emiratos Árabes Unidos;AE;Abu Zaby;AUH;OMAA;Abu Dhabi International Airport
Emiratos Árabes Unidos;AE;Abu Zaby;AYM;;Yas Island Seaplane Base
Emiratos Árabes Unidos;AE;Abu Zaby;AZI;OMAD;Al Bateen Executive Airport
Emiratos Árabes Unidos;AE;Abu Zaby;DHF;OMAM;Al Dhafra Air Base
Emiratos Árabes Unidos;AE;Abu Zaby;XSB;OMBY;Sir Bani Yas Airport
Emiratos Árabes Unidos;AE;Abu Zaby;ZDY;OMDL;Dalma Airport
Emiratos Árabes Unidos;AE;Al Fujayrah;FJR;OMFJ;Fujairah International Airport
Emiratos Árabes Unidos;AE;Ash Shariqah;SHJ;OMSJ;Sharjah International Airport
Emiratos Árabes Unidos;AE;Dubayy;DCG;;Dubai Creek Seaplane Base
Emiratos Árabes Unidos;AE;Dubayy;DJH;;Jebel Ali Seaplane Base
Emiratos Árabes Unidos;AE;Dubayy;DWC;OMDW;Al Maktoum International Airport
Emiratos Árabes Unidos;AE;Dubayy;DXB;OMDB;Dubai International Airport
Emiratos Árabes Unidos;AE;Dubayy;NHD;OMDM;Al Minhad Air Base
Emiratos Árabes Unidos;AE;Ra's al Khaymah;RHR;;Al Hamra Seaplane Base
Emiratos Árabes Unidos;AE;Ra's al Khaymah;RKT;OMRK;Ras Al Khaimah International Airport
Afganistán;AF;Badakhshan;DAZ;OADZ;Darwaz Airport
Afganistán;AF;Badakhshan;FBD;OAFZ;Fayzabad Airport
Afganistán;AF;Badakhshan;KUR;OARZ;Razer Airport
Afganistán;AF;Badakhshan;KWH;OAHN;Khwahan Airport
Afganistán;AF;Badakhshan;SGA;OASN;Sheghnan Airport
Afganistán;AF;Badghis;LQN;OAQN;Qala i Naw Airport
Afganistán;AF;Balkh;MZR;OAMS;Mazar-e Sharif International Airport
Afganistán;AF;Bamyan;BIN;OABN;Bamyan Airport
Afganistán;AF;Farah;FAH;OAFR;Farah Airport
Afganistán;AF;Faryab;MMZ;OAMN;Maymana Airport
Afganistán;AF;Ghazni;GZI;OAGN;Ghazni Airport
Afganistán;AF;Ghazni;SBF;OADS;Sardeh Band Airport
Afganistán;AF;Ghor;CCN;OACC;Chaghcharan Airport
Afganistán;AF;Helmand;BST;OABT;Bost Airport
Afganistán;AF;Helmand;DWR;OADY;Dwyer Airport
Afganistán;AF;Helmand;OAZ;OAZI;Camp Bastion Air Base
Afganistán;AF;Herat;HEA;OAHR;Herat International Airport
Afganistán;AF;Herat;OAH;OASD;Shindand Air Base
Afganistán;AF;Herat;ZAJ;OAZJ;Zaranj Airport
Afganistán;AF;Kabul;GRG;OAGZ;Gardez Airport
Afganistán;AF;Kabul;KBL;OAKB;Kabul International Airport
Afganistán;AF;Kandahar;KDH;OAKN;Kandahar International Airport
Afganistán;AF;Kandahar;TII;OATN;Tarinkot Airport
Afganistán;AF;Kandahar;URZ;OARG;Uruzgan Airport
Afganistán;AF;Khost;KHT;OAKS;Khost Airfield
Afganistán;AF;Khost;OLR;OASL;Forward Operating Base Salerno
Afganistán;AF;Kunduz;UND;OAUZ;Kunduz Airport
Afganistán;AF;Logar;OAA;OASH;Forward Operating Base Shank
Afganistán;AF;Nangarhar;JAA;OAJL;Jalalabad Airport
Afganistán;AF;Paktika;OAS;OASA;Sharana Airstrip / Forward Operating Base Sharana
Afganistán;AF;Paktika;URN;OAOG;Urgun Airport
Afganistán;AF;Parwan;OAI;OAIX;Bagram Airfield
Afganistán;AF;Takhar;TQN;OATQ;Taloqan Airport
Antigua y Barbuda;AG;Barbuda;BBQ;TAPH;Barbuda Codrington Airport
Antigua y Barbuda;AG;Saint George;ANU;TAPA;V. C. Bird International Airport
Anguila;AI;Anguilla;AXA;TQPF;Clayton J. Lloyd International Airport
Armenia;AM;Erevan;EVN;UDYZ;Zvartnots International Airport
Armenia;AM;Sirak;LWN;UDSG;Gyumri Shirak Airport
Angola;AO;Bengo;AZZ;FNAM;Ambriz Airport
Angola;AO;Bengo;NBJ;FNBJ;Luanda Dr. Antonio Agostinho Neto Angola International Airport
Angola;AO;Benguela;BUG;FNBG;Benguela Airport (Gen. V. Deslandes Airport)
Angola;AO;Benguela;CBT;FNCT;Catumbela Airport
Angola;AO;Benguela;LLT;FNLB;Lobito Airport
Angola;AO;Bie;ANL;;Andulo Airport
Angola;AO;Bie;SVP;FNKU;Kuito Airport
Angola;AO;Cabinda;CAB;FNCA;Cabinda Airport
Angola;AO;Cunene;VPE;FNGI;Ondjiva Pereira Airport
Angola;AO;Cunene;XGN;FNXA;Xangongo Airport
Angola;AO;Huambo;NOV;FNHU;Albano Machado Airport
Angola;AO;Huila;JMB;;Jamba Airport
Angola;AO;Huila;SDD;FNUB;Lubango Mukanka Airport
Angola;AO;Kuando Kubango;CTI;FNCV;Cuito Cuanavale Airport
Angola;AO;Kuando Kubango;DRC;;Dirico Airport
Angola;AO;Kuando Kubango;SPP;FNME;Menongue Airport
Angola;AO;Kwanza Norte;NDF;;N'dalatando Airport
Angola;AO;Kwanza Sul;CEO;FNWK;Waco Kungo Airport
Angola;AO;Kwanza Sul;NDD;FNSU;Sumbe Airport
Angola;AO;Kwanza Sul;PBN;FNPA;Porto Amboim Airport
Angola;AO;Luanda;LAD;FNLU;Quatro de Fevereiro Airport
Angola;AO;Lunda Norte;CFF;FNCF;Cafunfo Airport
Angola;AO;Lunda Norte;DUE;FNDU;Dundo Airport
Angola;AO;Lunda Norte;LBZ;FNLK;Lucapa Airport
Angola;AO;Lunda Norte;LZM;FNLZ;Cuango-Luzamba Airport
Angola;AO;Lunda Norte;NZA;FNZG;Nzagi Airport
